Week,,Start Date,End Date,
1,Hardware,2025-01-06,2025-01-11,
2,Hardware & Network Troubleshooting,2025-01-10,2025-01-15,
3,"Networking , Mobile Devices, Cloud & Virtualization",2025-01-15,2025-01-20,
4,"Install, Update and Configure hardware and peripheral devices",2025-01-19,2025-01-24,
5,Features of an Windows 10 Operating System,2025-01-23,2025-01-28,
6,"Configure, secure and setup Windows Operating System",2025-01-27,2025-02-01,
7,"Mac OS, Linux and Workstation Security",2025-02-01,2025-02-06,
8,Operational Procedures,2025-02-05,2025-02-10,
